date,value1,value2,value3,value4,value5
2017-11-15,84782084918.73099,92744253949.2673,76644750037.83911,83884840816.72682,12787365692.96199
2017-11-16,84015437063.31255,94240820195.78934,70618746578.70114,79254407213.92343,12787365692.96199
2017-11-17,79261761216.58789,90405528234.23816,73687285425.86456,84386698473.10866,12787365692.96199
2017-11-18,84585663554.10579,93045725636.12115,81529270283.08826,88929264320.41808,12787365692.96199
2017-11-19,88947630217.50156,96438304070.45346,82946983070.01436,88196702828.17946,4659267784.791273
2017-11-20,88224496161.34047,95167418510.72565,86123053233.89624,92062297152.54947,4659267784.791273
2017-11-21,91893858772.1951,95849071843.60574,85051254147.38834,89652887375.96898,4659267784.791273
2017-11-22,89697795844.89674,98601840057.85681,87690181861.67407,95282650029.55429,4659267784.791273
2017-11-23,95283090544.17062,108929138000.68997,91569759125.47021,103058200373.70071,4659267784.791273
2017-11-24,103147025854.63742,115743838097.95087,95217089109.49701,110205574171.21858,4659267784.791273
2017-11-25,110218058059.12587,119399302199.88837,103013494500.26848,109940258169.33109,4659267784.791273
2017-11-26,110254415067.28302,119957444458.37103,101414522881.86142,114153946342.80524,5293133474.63582
2017-11-27,114389401331.82733,121516757835.11453,108207942376.07306,115510344078.76187,5293133474.63582
2017-11-28,115493313614.44681,124152278592.86243,97968664237.71368,116789636931.74942,5293133474.63582
2017-11-29,116837054450.79898,135287283608.71057,96198534532.60117,105904789270.89948,5293133474.63582
2017-11-30,108245700039.21841,122854257743.41492,96196852173.01239,110605230208.80154,5293133474.63582
2017-12-01,110669656535.94357,125752240734.39703,102120197007.47559,118838539307.94733,5293133474.63582
2017-12-02,118901432197.49792,125167214192.65033,114182682083.02972,118892915858.76257,5293133474.63582
2017-12-03,119093615330.77255,133938860770.22894,112125789791.45105,123301866959.29968,4498925871.560726
2017-12-04,123292650415.94812,133098007832.59326,117043410457.33899,129240601377.90836,4498925871.560726
2017-12-05,129349016655.51346,138657617953.37427,114585892644.79852,129624079968.88995,4498925871.560726
2017-12-06,129595772970.6648,156247745214.48273,106364753660.60336,124499121135.32669,4498925871.560726
2017-12-07,124469469771.72134,152680654683.5874,94628742439.36935,117083595610.11908,4498925871.560726
2017-12-08,117289095524.14685,153436638819.903,94059043165.90814,130782787420.70932,4498925871.560726
2017-12-09,130830406922.13168,155800670958.4062,106469056822.96732,132580612866.16693,4498925871.560726
2017-12-10,132892884779.24744,143437619108.6527,108292594498.5827,123603991614.21191,8961291528.376713
2017-12-11,123596915208.73236,152987026040.20276,115204960516.3342,142258245600.26257,8961291528.376713
2017-12-12,142231484789.3877,195061120752.9436,135206950934.67865,172559055151.4193,8961291528.376713
2017-12-13,172541468501.31592,202464994142.02264,151285995322.81714,183900630504.0545,8961291528.376713
2017-12-14,184038298872.18866,232422404076.0359,169210031262.2463,208590035981.03766,8961291528.376713
2017-12-15,208517303061.2287,226999806679.75726,164983603599.32367,202475112088.46472,8961291528.376713
2017-12-16,202618143055.3144,242329562361.88477,185136802457.4231,212997348514.95673,8961291528.376713
2017-12-17,213237606128.55548,246365605948.44263,202280505452.71204,224541970341.6006,14489145740.219107
2017-12-18,224688486618.46948,268509874966.34528,206451875186.8175,251808877134.05908,14489145740.219107
2017-12-19,251819939614.77246,305552934344.5154,224392111389.71692,272035779481.3454,14489145740.219107
2017-12-20,271769735984.60944,321404147399.31726,226920932039.16626,287385370802.75714,14489145740.219107
